Date (GMT),Rate**
31-Jan-90,0.853318
28-Feb-90,0.835805
31-Mar-90,0.847488
30-Apr-90,0.859042
31-May-90,0.851324
30-Jun-90,0.852488
31-Jul-90,0.864292
31-Aug-90,0.873534
30-Sep-90,0.863326
31-Oct-90,0.862102
30-Nov-90,0.859496
31-Dec-90,0.861875
31-Jan-91,0.865042
28-Feb-91,0.865887
31-Mar-91,0.864192
30-Apr-91,0.866921
31-May-91,0.869678
30-Jun-91,0.874208
31-Jul-91,0.870085
31-Aug-91,0.873254
30-Sep-91,0.879547
31-Oct-91,0.886577
30-Nov-91,0.884847
31-Dec-91,0.872171
31-Jan-92,0.864343
29-Feb-92,0.845706
31-Mar-92,0.838346
30-Apr-92,0.842168
31-May-92,0.833991
30-Jun-92,0.836095
31-Jul-92,0.838657
31-Aug-92,0.839821
30-Sep-92,0.818183
31-Oct-92,0.803027
30-Nov-92,0.789113
31-Dec-92,0.785897
31-Jan-93,0.782538
28-Feb-93,0.79352
31-Mar-93,0.801883
30-Apr-93,0.792371
31-May-93,0.787533
30-Jun-93,0.781914
31-Jul-93,0.780058
31-Aug-93,0.764595
30-Sep-93,0.756743
31-Oct-93,0.754019
30-Nov-93,0.759115
31-Dec-93,0.751463
31-Jan-94,0.759168
28-Feb-94,0.744946
31-Mar-94,0.732934
30-Apr-94,0.72309
31-May-94,0.724203
30-Jun-94,0.722751
31-Jul-94,0.723294
31-Aug-94,0.725538
30-Sep-94,0.73859
31-Oct-94,0.740598
30-Nov-94,0.732809
31-Dec-94,0.719852
31-Jan-95,0.707619
28-Feb-95,0.714046
31-Mar-95,0.710399
30-Apr-95,0.726699
31-May-95,0.734837
30-Jun-95,0.725952
31-Jul-95,0.734674
31-Aug-95,0.737913
30-Sep-95,0.74026
31-Oct-95,0.743125
30-Nov-95,0.738902
31-Dec-95,0.730316
31-Jan-96,0.731626
29-Feb-96,0.727162
31-Mar-96,0.732286
30-Apr-96,0.735738
31-May-96,0.730333
30-Jun-96,0.732174
31-Jul-96,0.730075
31-Aug-96,0.728738
30-Sep-96,0.730258
31-Oct-96,0.740298
30-Nov-96,0.747362
31-Dec-96,0.734145
31-Jan-97,0.741095
28-Feb-97,0.737713
31-Mar-97,0.728626
30-Apr-97,0.717285
31-May-97,0.724444
30-Jun-97,0.722413
31-Jul-97,0.725946
31-Aug-97,0.719155
30-Sep-97,0.720901
31-Oct-97,0.721083
30-Nov-97,0.707821
31-Dec-97,0.70074
31-Jan-98,0.694034
28-Feb-98,0.697672
31-Mar-98,0.705934
30-Apr-98,0.699428
31-May-98,0.691958
30-Jun-98,0.68237
31-Jul-98,0.672597
31-Aug-98,0.651735
30-Sep-98,0.65718
31-Oct-98,0.647186
30-Nov-98,0.649221
31-Dec-98,0.647984
31-Jan-99,0.658264
28-Feb-99,0.667986
31-Mar-99,0.658987
30-Apr-99,0.672358
31-May-99,0.684065
30-Jun-99,0.680755
31-Jul-99,0.671896
31-Aug-99,0.670067
30-Sep-99,0.677142
31-Oct-99,0.676839
30-Nov-99,0.681383
31-Dec-99,0.678854
31-Jan-00,0.690098
29-Feb-00,0.688981
31-Mar-00,0.684963
30-Apr-00,0.68161
31-May-00,0.66953
30-Jun-00,0.676916
31-Jul-00,0.676913
31-Aug-00,0.674726
30-Sep-00,0.673952
31-Oct-00,0.661775
30-Nov-00,0.648357
31-Dec-00,0.656355
31-Jan-01,0.66544
28-Feb-01,0.657297
31-Mar-01,0.642116
30-Apr-01,0.640943
31-May-01,0.648913
30-Jun-01,0.655527
31-Jul-01,0.654361
31-Aug-01,0.650132
30-Sep-01,0.63876
31-Oct-01,0.63682
30-Nov-01,0.627564
31-Dec-01,0.633766
31-Jan-02,0.62508
28-Feb-02,0.626786
31-Mar-02,0.630034
30-Apr-02,0.631921
31-May-02,0.64495
30-Jun-02,0.652898
31-Jul-02,0.64882
31-Aug-02,0.637044
30-Sep-02,0.635509
31-Oct-02,0.633309
30-Nov-02,0.635908
31-Dec-02,0.640968
31-Jan-03,0.648365
28-Feb-03,0.66065
31-Mar-03,0.676936
30-Apr-03,0.686204
31-May-03,0.721028
30-Jun-03,0.740051
31-Jul-03,0.726701
31-Aug-03,0.715716
30-Sep-03,0.731822
31-Oct-03,0.755502
30-Nov-03,0.761797
31-Dec-03,0.759507
31-Jan-04,0.771389
29-Feb-04,0.75213
31-Mar-04,0.752422
30-Apr-04,0.749996
31-May-04,0.72636
30-Jun-04,0.735562
31-Jul-04,0.756167
31-Aug-04,0.760827
30-Sep-04,0.778018
31-Oct-04,0.80029
30-Nov-04,0.835423
31-Dec-04,0.823635
31-Jan-05,0.825926
28-Feb-05,0.806314
31-Mar-05,0.8217
30-Apr-05,0.810848
31-May-05,0.795893
30-Jun-05,0.805562
31-Jul-05,0.81728
31-Aug-05,0.829126
30-Sep-05,0.847706
31-Oct-05,0.849655
30-Nov-05,0.845988
31-Dec-05,0.860996
31-Jan-06,0.863293
28-Feb-06,0.869951
31-Mar-06,0.865423
30-Apr-06,0.873073
31-May-06,0.900847
30-Jun-06,0.896458
31-Jul-06,0.88753
31-Aug-06,0.892213
30-Sep-06,0.896373
31-Oct-06,0.887239
30-Nov-06,0.880862
31-Dec-06,0.867491
31-Jan-07,0.851383
28-Feb-07,0.853737
31-Mar-07,0.855028
30-Apr-07,0.879035
31-May-07,0.911331
30-Jun-07,0.938313
31-Jul-07,0.951879
31-Aug-07,0.944334
30-Sep-07,0.972009
31-Oct-07,1.022779
30-Nov-07,1.038922
31-Dec-07,0.997966
31-Jan-08,0.989995
29-Feb-08,0.997605
31-Mar-08,1.000995
30-Apr-08,0.986005
31-May-08,0.998527
30-Jun-08,0.985099
31-Jul-08,0.987421
31-Aug-08,0.952022
30-Sep-08,0.944228
31-Oct-08,0.857797
30-Nov-08,0.82083
31-Dec-08,0.811699
31-Jan-09,0.816009
28-Feb-09,0.805443
31-Mar-09,0.791993
30-Apr-09,0.815192
