Year,Species_vol,NS_maritimes_vol,NS_gulf_vol,NS_total_vol,NB_maritimes_vol,NB_gulf_vol,NB_total_vol,PEI_total_vol,QC_total_vol,NFLD_total_vol,Atlantic_total_vol,Species_x,Year_x,merge_code,Species_val,NS_maritimes_val,NS_gulf_val,NS_total_val,NB_maritimes_val,NB_gulf_val,NB_total_val,PEI_total_val,QC_total_val,NFLD_total_val,Atlantic_total_val,Species_y,Year_y,Species,NS_maritimes_lic,NS_gulf_lic,NB_maritimes_lic,NB_gulf_lic,PEI_lic,QC_lic,NFLD_lic,Total_atlantic_lic,Year,price_per_lb
1990,Lobster,18556.894,3909.756,22466.65,837.037,8070.495,8907.532,10246.196,3311.441,1427.092,47852.924,Lobster,1990,Lobster1990,Lobster,119465.79799999499,15245.111770000012,134710.909769995,5707.047089999998,29510.306859999844,35217.353949999844,36229.680959999874,13345.947,6588.865239999997,232204.2405199947,Lobster,1990,Lobster,2741,694,309,1373,1307,640,3180,10244,1990,1.6038660976787233
1991,Lobster,19554.045,4014.578,23568.623,829.501,7209.05,8038.551,10274.68,3493.312,1606.078,48450.405,Lobster,1991,Lobster1991,Lobster,133131.94994999396,21519.851099996926,154651.80104999087,6234.32737999999,37440.23459999733,43674.56197999732,46434.10840000966,18501.844,8604.248450000005,279206.68377999787,Lobster,1991,Lobster,2749,692,307,1369,1305,652,3076,10150,1991,2.0499112698604978
1992,Lobster,14502.063,3531.879,18033.942,815.918,7154.713,7970.630999999999,8872.678,3834.56,1684.668,41944.296,Lobster,1992,Lobster1992,Lobster,134611.03033999717,25149.76816999987,159760.79850999705,6724.725009999998,44916.22360000006,51640.948610000065,58068.54437000052,26396.41,11443.195890000019,317223.33551999764,Lobster,1992,Lobster,2748,693,301,1367,1305,654,3061,10129,1992,2.9686054185084902
1993,Lobster,14464.52,3576.862,18041.382,815.419,7103.609,7919.028,8904.593,3588.105,2608.008,41061.116,Lobster,1993,Lobster1993,Lobster,132672.70614999803,24860.169109999875,157532.8752599979,6611.412780000012,40073.00916000009,46684.4219400001,51712.80644000024,25030.139,18234.375610000025,299194.61824999825,Lobster,1993,Lobster,2724,699,295,1366,1307,655,2982,10028,1993,2.634209371298811
1994,Lobster,16689.378,2731.089,19420.467,985.19,6837.945,7823.135,8506.702,3151.494,2639.066,41540.864,Lobster,1994,Lobster1994,Lobster,159706.23905000047,23403.507680000035,183109.7467300005,9303.39646,51152.79953000024,60456.19599000024,65422.99449999961,25491.341,20768.84862000132,355249.12684000167,Lobster,1994,Lobster,2663,694,291,1371,1307,653,4185,11164,1994,3.488473725686721
1995,Lobster,15954.62,2967.727,18922.347,992.138,6706.665,7698.803,8542.796,3411.206,2544.438,41119.59,Lobster,1995,Lobster1995,Lobster,179735.026,31027.239,210762.265,11206.81,57972.496,69179.306,79656.425,35349.692,24594.654,419542.342,Lobster,1995,Lobster,2675,691,284,1370,1307,654,4006,10987,1995,4.229480555428436
1996,Lobster,15257.231,3004.218,18261.449,1320.669,6316.441,7637.11,8154.109,3501.954,2379.032,39933.654,Lobster,1996,Lobster1996,Lobster,175903.817,28140.804,204044.621,14969.178,46874.172,61843.35,64974.689,33335.307,21278.358,385476.325,Lobster,1996,Lobster,2698,690,283,1369,1307,653,3918,10918,1996,3.614381193970531
1997,Lobster,16699.494,2893.965,19593.459,1472.777,5852.11,7324.887,8155.492,2827.279,2178.133,40079.25,Lobster,1997,Lobster1997,Lobster,185426.28,30406.146,215832.426,16058.228,49096.955,65155.183000000005,73823.076,29232.436,22644.247,406687.368,Lobster,1997,Lobster,2680,688,281,1353,1304,650,3901,10857,1997,4.105898678623968
1998,Lobster,16413.72,3113.219,19526.939000000002,1644.93,6232.751,7877.6810000000005,8698.141,3048.48,2035.195,41186.436,Lobster,1998,Lobster1998,Lobster,206067.61507,30279.34251000004,236346.95758000005,19631.01332,55564.97671,75195.99003,82560.14008,29490.655,19162.31183,442756.05452000006,Lobster,1998,Lobster,2700,696,325,1338,1329,648,3858,10894,1998,4.30536756558685
1999,Lobster,20390.441,2998.447,23388.888,1931.398,6026.638,7958.036,8402.661,3214.224,1812.696,44776.505,Lobster,1999,Lobster1999,Lobster,273467.2368500005,34446.24763999997,307913.48449000047,26599.266920000002,63835.94348000001,90435.21040000001,89147.17999999983,35918.93393000003,18117.10464000002,541531.9134600004,Lobster,1999,Lobster,2689,682,326,1309,1326,646,3207,10185,1999,4.812347986451268
2000,Lobster,20600.753,3135.41,23736.163,1947.896,5993.73,7941.625999999999,8660.985,3413.075,1758.753,45510.602,Lobster,2000,Lobster2000,Lobster,267395.28,35173.464,302568.744,25358.3,59289.409,84647.709,91841.73,41015.363,19281.548,539355.094,Lobster,2000,Lobster,2706,691,326,1319,1326,638,3101,10107,2000,4.809932994723172
2001,Lobster,26191.36,3214.874,29406.234,2675.654,5594.442,8270.096,8726.922,3602.594,2116.949,52122.795,Lobster,2001,Lobster2001,Lobster,333342.557,41974.411,375316.968,31604.264,62230.71,93834.974,104992.216,46612.456,25656.6,646413.2139999999,Lobster,2001,Lobster,2694,676,328,1244,1297,631,2930,9800,2001,5.4571044319560915
2002,Lobster,23566.383,3254.037,26820.42,2558.872,5319.143,7878.014999999999,9021.344,3161.39,2058.841,48940.01,Lobster,2002,Lobster2002,Lobster,334500.304,41787.921,376288.225,34858.195,60639.015,95497.21,102395.587,43920.359,23482.898,641584.279,Lobster,2002,Lobster,2837,665,358,1233,1289,643,2923,9948,2002,5.14844708512392
2003,Lobster,24535.858,2970.525,27506.383,2484.604,4894.227,7378.831,9157.73,3538.244,2255.976,49837.164000000004,Lobster,2003,Lobster2003,Lobster,356272.256,38207.92,394480.176,33446.368,55019.545,88465.913,109391.588,46909.92,25871.484,665119.081,Lobster,2003,Lobster,2849,663,360,1243,1290,641,2917,9963,2003,5.418291287109886
2004,Lobster,23061.534,2795.123,25856.657,2295.051,4427.406,6722.457,9151.694,3837.95,1910.071,47478.829,Lobster,2004,Lobster2004,Lobster,310133.084,34656.613,344789.697,30025.537,46477.581,76503.118,97935.017,49829.304,21089.894,590147.03,Lobster,2004,Lobster,2853,660,368,1227,1287,637,2911,9943,2004,4.854033504251654
2005,Lobster,26364.0,2762.702,29126.702,2987.0,4291.236,7278.236,8306.738,3392.922,2616.29,50720.888,Lobster,2005,Lobster2005,Lobster,374454.0,37441.708,411895.708,40997.0,52762.851,93759.851,101278.22,45980.419,31269.996,684184.194,Lobster,2005,Lobster,2867,683,370,1365,1318,638,2900,10141,2005,5.530339643824423
2006,Lobster,28540.849,3053.902,31594.750999999997,3066.606,4807.882,7874.487999999999,9435.021,3461.044,2642.405,55007.708999999995,Lobster,2006,Lobster2006,Lobster,342834.4333499835,37305.6310199999,380140.0643699834,36799.810410000195,55117.98725999776,91917.79766999796,109193.52689999799,43144.53320999999,28689.36684,653085.2889899793,Lobster,2006,Lobster,2881,671,375,1354,1297,638,2893,10109,2006,5.249528279598835
2007,Lobster,23187.629,2752.361,25939.99,2734.838,5088.372,7823.21,9055.552,3485.177,2566.397,48870.326,Lobster,2007,Lobster2007,Lobster,313864.77113000024,36527.586060004,350392.35719000426,32312.285289999934,58204.0811100035,90516.36640000343,108496.293689995,47645.706490000004,32004.25638,629054.9801500028,Lobster,2007,Lobster,2879,667,374,1343,1294,637,2889,10083,2007,5.434583062173181
